Date,Open,High,Low,Close,Volume
10-Mar-16,3.89,3.95,3.73,3.88,3144106
9-Mar-16,4.06,4.13,3.70,3.89,4029623
8-Mar-16,4.05,4.18,3.70,3.97,5564150
7-Mar-16,3.86,4.29,3.86,4.08,8271662
4-Mar-16,3.89,4.15,3.71,3.88,9559962
3-Mar-16,3.60,3.89,3.55,3.85,10226672
2-Mar-16,3.32,3.67,3.28,3.60,4198914
1-Mar-16,3.40,3.45,3.30,3.35,2716884
29-Feb-16,3.25,3.44,3.17,3.30,4028037
26-Feb-16,3.04,3.38,3.03,3.18,4775581
25-Feb-16,2.78,2.99,2.71,2.97,3904606
24-Feb-16,2.77,2.94,2.70,2.88,3770879
23-Feb-16,2.65,2.93,2.61,2.85,9075108
22-Feb-16,2.50,2.63,2.40,2.55,4912219
19-Feb-16,2.44,2.48,2.39,2.43,2126779
18-Feb-16,2.58,2.60,2.46,2.48,2702909
17-Feb-16,2.46,2.59,2.44,2.54,3333294
16-Feb-16,2.43,2.45,2.30,2.41,3149473
12-Feb-16,2.34,2.50,2.28,2.38,2475027
11-Feb-16,2.29,2.41,2.25,2.29,2944967
10-Feb-16,2.54,2.54,2.37,2.38,4593993
9-Feb-16,2.47,2.55,2.38,2.53,1415482
8-Feb-16,2.66,2.66,2.43,2.52,1973085
5-Feb-16,2.72,2.86,2.60,2.70,2286522
4-Feb-16,2.70,2.87,2.66,2.71,3292288
3-Feb-16,2.74,2.74,2.54,2.67,3478233
2-Feb-16,2.60,2.71,2.57,2.66,2547345
1-Feb-16,2.68,2.74,2.63,2.71,2886208
29-Jan-16,2.63,2.76,2.61,2.76,4522961
28-Jan-16,2.75,2.75,2.56,2.62,3695116
27-Jan-16,2.67,2.74,2.52,2.55,3417866
26-Jan-16,2.67,2.76,2.60,2.69,3186526
25-Jan-16,2.78,2.84,2.63,2.63,2899816
22-Jan-16,2.80,2.96,2.73,2.82,5619528
21-Jan-16,2.35,2.62,2.34,2.58,4557530
20-Jan-16,2.38,2.39,2.20,2.36,5711660
19-Jan-16,2.73,2.73,2.49,2.50,2620880
15-Jan-16,2.52,2.70,2.40,2.70,3064814
14-Jan-16,2.80,2.80,2.65,2.68,5150876
13-Jan-16,2.88,2.93,2.73,2.76,5950889
12-Jan-16,2.81,2.86,2.67,2.79,7059953
11-Jan-16,2.75,2.80,2.58,2.77,7161030
8-Jan-16,2.91,2.94,2.73,2.73,3316108
7-Jan-16,2.83,3.02,2.75,2.89,3341155
6-Jan-16,3.15,3.16,2.98,2.99,3373948
5-Jan-16,3.30,3.36,3.23,3.24,2246576
4-Jan-16,3.31,3.47,3.30,3.32,3121492
31-Dec-15,3.30,3.38,3.24,3.35,3750250
30-Dec-15,3.37,3.44,3.27,3.32,2258822
29-Dec-15,3.51,3.61,3.37,3.49,2095345
28-Dec-15,3.51,3.51,3.36,3.43,2223642
24-Dec-15,3.69,3.78,3.57,3.57,1281866
23-Dec-15,3.61,3.70,3.56,3.70,2739404
22-Dec-15,3.30,3.54,3.30,3.50,1476204
21-Dec-15,3.29,3.35,3.18,3.31,2262821
18-Dec-15,3.30,3.39,3.23,3.29,3552835
17-Dec-15,3.51,3.54,3.25,3.29,2920903
16-Dec-15,3.61,3.70,3.41,3.51,3064959
